Interactor 1,Interactor 2,is_directed,BIOGRID,pathway,complex,Confidence
FANCE,HES1,0.0,True,True,True,0.84
NOP2,NOP56,0.0,True,True,False,0.96
NOP2,TOP1,0.0,True,True,False,0.84
PHACTR1,PPP1CA,1.0,True,False,False,0.855
NLGN3,DLG4,1.0,True,True,False,0.65
RIT2,POU4F1,1.0,True,False,False,0.799
HLA-DPA1,CD4,1.0,False,True,False,0.83
NR1D1,NR2E3,1.0,True,False,False,0.84
NR1D1,NCOR1,0.0,True,True,False,0.89
ITGB1BP1,ITGB1,-1.0,True,False,True,0.999
TIPIN,TIMELESS,1.0,True,False,True,0.999
TIPIN,RPA1,1.0,True,False,True,0.987
ZNF8,CBX3,0.0,True,True,False,0.86
SFRP2,WNT1,-1.0,False,True,False,0.52
SFRP2,WNT4,-1.0,True,True,False,0.8
ZAP70,PAG1,-1.0,True,False,True,0.958
ZAP70,LAX1,1.0,False,False,False,0.52
ZAP70,PLCG1,0.0,True,True,True,0.87
ZAP70,CRK,0.0,True,True,True,0.87
ZAP70,PIK3R1,1.0,True,True,True,0.893
ZAP70,LCP2,1.0,True,True,True,0.86
ZAP70,SHC1,1.0,True,True,True,0.89
ZAP70,GAB2,1.0,True,True,False,0.74
ZAP70,SH2B3,1.0,False,True,False,0.52
ZAP70,HSP90AA1,1.0,False,True,True,0.806
ZAP70,DBNL,1.0,True,True,False,0.89
ZAP70,VAV1,1.0,True,True,True,0.999
ZAP70,LAT,1.0,True,True,True,0.87
ZAP70,EGFR,0.0,True,True,True,0.9
CDC5L,SUMO1,0.0,True,True,True,0.84
CDC5L,PRPF3,0.0,True,True,True,0.88
CDC5L,CUL1,0.0,True,True,True,0.86
CDC5L,CWC15,0.0,True,True,True,0.9
CDC5L,SFI1,0.0,True,False,True,0.88
CDC5L,MACF1,0.0,True,True,True,0.86
CDC5L,PPM1D,0.0,True,True,True,0.88
CDC5L,SRSF1,0.0,True,True,True,0.87
CDC5L,U2AF1,0.0,True,True,True,0.86
CDC5L,U2AF2,0.0,True,True,True,0.87
CDC5L,SF3A1,0.0,True,True,True,0.88
CDC5L,TOP2A,0.0,True,True,True,0.87
CDC5L,SFPQ,0.0,True,True,True,0.89
CDC5L,KDM1A,0.0,True,True,True,0.87
CDC5L,PRKDC,0.0,True,True,True,0.88
CDC5L,HNRNPM,1.0,True,True,True,0.63
CDC5L,SF3B1,0.0,True,True,True,0.9
CDC5L,SCAF8,0.0,True,False,True,0.86
CDC5L,WDR18,0.0,True,False,True,0.86
CDC5L,SF3B2,0.0,True,True,True,0.88
CDC5L,ORC2,0.0,True,True,True,0.88
CDC5L,SNRPA,0.0,True,True,True,0.88
CDC5L,SNW1,0.0,True,True,True,0.89
CDC5L,EXOC7,0.0,True,True,True,0.89
CDC5L,SRRM1,0.0,True,True,True,0.89
CDC5L,RBMX,0.0,True,True,True,0.86
CDC5L,BZW1,0.0,True,False,True,0.88
CDC5L,ILF2,0.0,True,True,True,0.89
RAC2,NCF2,0.0,True,True,False,0.9
RAC2,PAK1,1.0,False,True,False,0.63
RAC2,PAK2,1.0,True,True,False,0.87
RAC3,RELA,1.0,False,True,False,0.809
RAC3,ESR1,0.0,True,True,False,0.88
RAC3,PAK1,1.0,True,True,False,0.78
RAC1,BRK1,1.0,True,True,True,0.78
RAC1,CAV1,0.0,True,True,True,0.93
RAC1,ARHGEF7,1.0,True,True,True,0.993
RAC1,ARHGEF2,1.0,True,True,True,0.97
RAC1,PLD1,1.0,False,True,True,0.52
RAC1,PAK4,1.0,True,True,False,0.82
RAC1,PAK1,1.0,True,True,True,0.99
RAC1,PAK2,1.0,True,True,False,0.9
RAC1,PAK3,1.0,True,True,False,0.96
RAC1,ARFIP2,1.0,True,False,True,0.994
RAC1,NCKAP1,-1.0,True,True,True,0.993
RAC1,LRRK2,0.0,True,True,True,0.86
RAC1,TIAM1,1.0,True,True,True,0.9
RAC1,AKT1,1.0,True,True,True,0.58
RAC1,PIK3R1,1.0,True,True,True,0.97
RAC1,PLCB2,1.0,False,True,False,0.72
RAC1,SET,0.0,True,True,True,0.87
RAC1,RHOA,-1.0,False,True,True,0.943
RAC1,VAV1,1.0,True,True,True,0.995
RAC1,VAV3,1.0,True,True,False,0.75
RAC1,VAV2,1.0,True,True,True,0.75
RAC1,BAIAP2,1.0,True,True,False,0.967
RAC1,NCF2,1.0,True,True,True,0.9
RAC1,NCF1,1.0,False,True,True,0.77
RAC1,RPS6KB1,1.0,False,True,False,0.943
RAC1,XIAP,0.0,True,True,True,0.88
RAC1,STAT3,1.0,True,True,True,0.86
RAC1,TRIO,1.0,True,True,False,0.9
RAC1,NCK1,1.0,False,True,True,0.62
RAC1,FHOD1,-1.0,True,True,False,0.89
RAC1,CDC42,0.0,True,True,True,0.88
RAC1,CYFIP1,-1.0,True,True,True,0.937
RAC1,KTN1,1.0,True,True,True,0.63
RAC1,BIRC2,0.0,True,True,True,0.86
RAC1,IQGAP2,1.0,True,True,True,0.943
RAC1,WASF1,-1.0,True,True,False,0.81
RAC1,MAP3K11,1.0,True,True,True,0.978
RAC1,DVL1,1.0,False,True,True,0.59
RAC1,SYNJ2,0.0,True,True,False,0.9
RAC1,NOS2,0.0,True,True,True,0.87
RAC1,PRKCA,1.0,False,True,True,0.963
RAC1,CYBB,1.0,False,True,True,0.97
RAC1,CYBA,1.0,False,True,True,0.95
RAC1,ARHGAP32,-1.0,True,True,False,0.979
VCL,SRC,1.0,False,True,True,0.993
VCP,DERL1,1.0,True,True,True,0.999
VCP,NGLY1,1.0,True,True,False,0.988
VCP,NPLOC4,1.0,True,True,True,0.999
CPLX1,STX1A,1.0,True,True,True,0.97
CPLX1,VAMP2,1.0,True,True,True,0.96
AP2A1,EPS15,0.0,True,True,True,0.89
AP2A1,AP2S1,0.0,True,True,False,0.96
AP2A1,AP2M1,0.0,True,True,True,0.89
AP2A1,SHC1,0.0,True,True,True,0.95
AP2A1,NUMB,0.0,True,True,True,0.9
AP2A1,EGFR,0.0,True,True,True,0.88
